pav bhaji,"Pav bhaji is a fast food dish from Maharashtra, India consisting of a vegetable curry (Marathi:bhaji) served with a soft bread roll",shreeleela,"india,fried,hot"
samosa,"A samosa or samoosa is a fried or baked pastry with savoury filling, such as spiced potatoes, onions, peas, lentils and also with minced meat (lamb, beef or chicken),[1] and sometimes pine nuts. The samosa originated in the Central Asia",shreeleela,"potato,spicy,oily,india"
chole bhature,"Chole bhature, is a combination of chole (spicy chick peas) and fried bread called bhatoora (made of maida flour)",shreeleela,"oily,beans,spicy,india"
Dal Baati,Dal Baati  is an Indian dish comprising dal (lentils) and baati (hard wheat rolls).[1] It is popular in Rajasthan and Madhya Pradesh (especially in Nimar and Malwa regions),shreeleela,"heavy,rajasthani,spicy,india"
Pakode,"Pakora pronounced, also called pakodi, is a fried snack (fritter). Originally from India,[1] it is found across South Asia.",gurukripa,"oily,rainy,spicy,chutney,india"
Dosa,"Dosa is a fermented crepe made from rice batter and black lentils. It is a staple dish in South Indian states of Tamil Nadu, Karnataka, Telangana, Andhra Pradesh and Kerala.",gurukripa,"rice,chutney,pulses,vegetables,india"
Jdli,-,,
Khamand,"Khamand is a village in Deraz Kola Rural District, Babol Kenar District, Babol County, Mazandaran Province, Iran. At the 2006 census, its population was 79, in 20 families",gurukripa,"light,soft,baked,india"
Rajma chawal,Rajma is a popular Indian vegetarian dish consisting of red kidney beans in a thick gravy with many Indian whole spices and usually served with rice and roti,gurukripa,"spicy,curry,gravy,beans,india"
paani Puri,"The Panipuri (also known as Gol gappa is a popular street snack from the Magadha region of India",punjabi dhaba,"spicy,water,crunchy,onion,masala,potato,india"
bhel puri,"Bhelpuri is a savoury Indian snack, and is also a type of chaat. It is made out of puffed rice, vegetables and a tangy tamarind sauce",punjabi dhaba,"spicy,chutney,salty,rice,sev,india"
chole tikiya,"Chole bhature , is a combination of chole (spicy chick peas) and fried bread called bhatoora (made of maida flour).",punjabi dhaba,"oily,heavy,fried,spicy,beans,india"
kachori,"Kachori or Kachauri or Kachodi or Katchuri  is a spicy snack popular in various parts of India including Uttar Pradesh, Rajasthan, Delhi, Maharashtra, Madhya Pradesh, Gujarat, Bengal and Orissa",punjabi dhaba,"masala,pulses,spicy,hot,chutney,india"
kadhai paneer,"Shahi paneer is a preparation of paneer in a thick gravy made up of cream, tomatoes and spices.",punjabi dhaba,"gravy,currey,hot,india"
